Customer_ID,Customer_name,Region,Country
1e2f45ef-a577-41f0-8395-2929c5d17b9f,"Adam Esparza",Asia,Togo
5b57f0c2-d270-434a-a190-3fd6f4041f9d,"Scott Jarvis","North America",Myanmar
3daf092b-296c-442d-b26d-84b202381bd7,"Erica Silva",Europe,Chile
89072c32-979b-47c1-8fb8-b52c545826c1,"Tiffany Jones",Asia,Venezuela
910b5feb-9050-4588-a2ca-6b788dc429d8,"Christina Perry",Africa,"Saint Martin"
3b32534c-8a25-4304-b67b-6144c29424ae,"Robert Jones","South America",Qatar
14aab9c5-479c-46d1-89dd-fb1e06502638,"Shannon King","South America","Solomon Islands"
f2ecd18d-8b63-42bc-9b85-5bf7ee53a8b5,"Scott Harrell",Australia,Micronesia
29eb922a-7348-43de-bd44-8d6cd5013eda,"Taylor Jacobs",Europe,Colombia
293ece8e-6f28-4265-af10-7be2e52202ef,"Lori Crawford",Europe,Reunion
cd66b3de-851e-406b-a1bd-4dc4f4ad06a5,"Jennifer Chavez","South America",Greenland
d87a04db-517b-4382-9675-9a47695d3e23,"Sarah Deleon","South America","French Polynesia"
499ba9cd-3c4b-4c7a-aa9c-bbcf24b4bcfa,"Sarah Sawyer","North America","Western Sahara"
32ab7553-9d40-42e3-88b1-009c11eff9c2,"Gina Levine",Asia,"Sao Tome and Principe"
ce93fa6b-eb12-4097-8f5e-b1a6b8c309ba,"Daniel Smith",Africa,Nepal
06435d69-dc01-4b8c-8cb7-04a9bd2a0879,"Michael Freeman",Africa,"Trinidad and Tobago"
bacf3d36-23b9-47f9-9a8d-7a75d9bc74a8,"Carol Harris","South America",Kazakhstan
698327cd-ef25-418d-a198-f08032f9ddf1,"Susan Taylor","North America",Ireland
f6442a6c-4f51-4d06-9621-39004c1b982c,"Lonnie Shaw",Australia,Namibia
d66f030c-f9e3-4375-9675-3af59bc1f864,"Maureen Garner",Asia,"Christmas Island"
af961050-9c2f-4cda-a178-e0188fa14097,"Steve Nguyen","South America",Namibia
04954f2b-1ffb-400b-b4ca-d459cadd7610,"Alexis Ross",Africa,Grenada
f19e785c-549b-4063-992c-238047e04257,"Greg Haas","South America",Nepal
724ccb94-6ce4-4f29-ac12-f30553514f8e,"Bryan Davis",Europe,Venezuela
9572e149-eabc-4f3f-abb1-a50bad44d55b,"Kimberly Berry",Asia,Congo
05b5e41f-308b-4ba8-8f00-772a9aa327f5,"Chad Stevens",Asia,"Isle of Man"
949359b5-509d-415d-9f1a-7d3f3d5d07ad,"Russell Mcmillan","North America","Sao Tome and Principe"
97058d26-2e1e-4b9f-b9f6-05713111121d,"Robert Riddle",Africa,Sudan
ead3b2a0-ece0-4f08-934f-814dc3e9f00f,"Linda Woodward","North America",Gibraltar
e4313345-c74a-4131-9a67-233a3e54cc6b,"Brian White",Europe,Tokelau
61327c97-abe1-44df-ac6d-086356ccd5ce,"Sophia Klein",Australia,Peru
c6f03e8d-3ca0-485c-92e0-91a785083677,"Victoria Hardy",Asia,Macedonia
1f37be84-5e15-4026-91d1-6a1035b628a2,"Brittany Munoz","North America",Kiribati
e78ec2af-b13a-4488-9e1c-53c0fd34d51f,"Jessica Hawkins",Europe,"Solomon Islands"
d20d3b5d-df29-4af0-8069-1764ad1f45df,"James Farrell",Asia,"Cook Islands"
2269e832-345e-41f2-afc9-61f1b5819329,"Harold Morales",Australia,Gibraltar
1da78433-5050-4b1d-ac30-0bd86212e35e,"Alexander Cummings","South America",Ethiopia
13e8b322-f7b3-455b-ab93-ad58cc971045,"Brian Taylor","South America",Romania
99a259f3-11d0-4729-91d4-e7037cb421a5,"Brenda Cole",Australia,Anguilla
eb6cfca1-8493-4758-9d9b-0b71b34bcf5e,"Matthew Brown",Asia,Cambodia
4a3491f9-7007-4fab-bac0-eb96bcce651d,"Michael Moody","South America",Latvia
7ebc6f1a-7f18-4f97-84c2-a1bc31cca1cb,"Eugene Sweeney",Europe,Guadeloupe
a5ef96ec-3834-4675-b221-952a4942ec5a,"Christopher Sanchez","South America",Niger
c71b1a90-f1d3-4b70-ac43-42ec3844c4fc,"Anthony Ramirez",Asia,Vietnam
22fe58a1-af07-4d18-be2d-d88da3b7ff9d,"Christy Jackson",Europe,Nicaragua
615a1338-3077-4318-b5c1-2affa573eff8,"Amy Ramirez",Europe,Reunion
56893d55-2a87-4533-83a7-40d2b4dc951c,"Jonathan Wade",Europe,"Isle of Man"
8b20cdcc-e0df-4537-9b84-315cbb58c2fa,"Lynn Montgomery",Europe,Vietnam
7ce72973-a937-4488-9cbf-80858add7991,"Maria Patton",Africa,"Sri Lanka"
0ad63201-8058-43eb-baee-cd99b6ade674,"Nicole Johnson",Australia,Singapore
c021b2f5-a1db-4897-b4e8-ca3713482ef0,"Lisa Thompson","South America","Falkland Islands (Malvinas)"
d2ff4f05-a927-4b9c-b87e-4760bc98d013,"Kimberly Lewis",Australia,Hungary
c2756e9c-fc3b-4883-abd6-11a701d6fde1,"Dr. Timothy Rush","North America",Italy
45550331-9266-4a87-ad9e-2a3cb1503a13,"Lauren Bowman","South America",Eritrea
1054d582-9991-43af-ae1a-0eb9877b4de3,"David Ayala",Australia,"American Samoa"
c05f5a84-336f-4889-a386-c77ae01b8ef8,"Matthew Cain","North America",Denmark
b6c9e080-5a80-40cf-8528-93db1900028b,"Justin Meyer",Europe,Congo
d8bcb75f-1e21-4370-9a02-297106b0b276,"Jordan Petersen",Europe,Senegal
0227171c-5ffb-476f-b6f9-126e268cae05,"Brian Johnson",Asia,Gambia
78584b32-3494-4edd-8ef7-dace75e33d58,"Mary Lee",Europe,Gibraltar
f84b3d59-657b-440c-b4af-b9243f7f1bfb,"Donna Ruiz","South America",Romania
6e80f9bc-e52c-42dd-b7ae-a13fc720e30c,"Ashley Jenkins",Africa,"Saint Martin"
f2a2fb11-f611-4a33-ba50-d6f8d7f3ca3a,"Thomas Coleman","South America","Saint Vincent and the Grenadines"
43cc4d74-3f4e-4b7c-9856-4b3705cbe80b,"Jordan Walker",Africa,Tonga
6038d9f8-4329-4006-a503-b836983f8f0c,"Michele Chaney","North America",Dominica
503b1af4-f3b8-49db-b25b-891b10099d97,"Jonathon Rodriguez",Australia,Oman
98fa8f83-6574-4eab-99d6-4403e70f8371,"Jennifer White","South America",Guyana
66403352-9330-49dd-81ba-8b3f0479d3a1,"Michael Taylor",Europe,Australia
9bcf2128-3a57-4205-8345-b35a6766a827,"Sean Ferrell","South America",Portugal
acde23b8-0a46-429a-8541-4912db48f79a,"Kimberly Kim","North America",Albania
7b0f2d08-f245-45e3-ac6f-e3888e60cf95,"Susan Francis",Australia,Croatia
808b3051-435d-40fb-89db-35b274e696b4,"Tiffany Walsh",Africa,Finland
e34d0f0c-adfb-40cf-8847-97259ebbf9a3,"Scott Welch","South America",Suriname
3186ffbf-6975-4a85-9299-3586363bd806,"Lauren Jones",Asia,Oman
3da8bec3-2913-43ac-a81f-f5cecd4a314d,"Gabriel Davis","North America",Argentina
b6dfd348-a306-4d95-99d7-9d306d3a6ff1,"Kevin Shah",Africa,"Sierra Leone"
9521618d-c5b9-4d0d-b09a-f455662077f4,"Samantha Baker","South America","Christmas Island"
df216339-42e9-422b-9bb1-48eac19fb6fc,"Scott Johnson",Europe,Pakistan
c6a84cac-eb10-4901-8e03-65f92a2fe5cd,"James Olson","South America","Marshall Islands"
37254eca-00b0-44d5-8283-72fa9dffbbeb,"Annette Walker",Australia,Tuvalu
8cda0297-9947-4cff-8ae5-be0c771fcfb0,"Samantha Gomez",Australia,Mali
a667db4a-bdf0-4e71-a40f-cf54527a16f7,"Jacob Pace","South America",Vietnam
12c17a47-ef5e-4ea6-8395-07a2f0f7c0c8,"Lisa Moreno","North America","French Guiana"
8b9aa648-eb4f-4d01-8c44-fb5eb9cd1d49,"Kim Porter",Asia,Brazil
9bf03bab-4782-405e-a703-49a5b738d189,"Sherry Kaiser",Asia,Finland
c46f28ca-754d-4c0e-a86a-2b1b711d7fdc,"Judith Thompson","North America","El Salvador"
6bcc618f-5c85-49b1-9f10-8c87aeb45c1b,"Alfred Brown",Asia,"Saint Pierre and Miquelon"
c51ada68-f1aa-486f-9ad6-c0b7d6b5be30,"Joseph Davis MD","South America",Mozambique
d7c2d881-d1a0-4ea2-8a8f-c2cd444f024a,"Susan Hampton",Australia,Estonia
15c3f67d-b659-441c-8b94-ddfb87e563b2,"Christopher Jones",Europe,"Sri Lanka"
decb388e-99c3-454f-809e-98e5e470156d,"Thomas Matthews",Europe,"Wallis and Futuna"
cdb6b839-b87b-4520-946f-d58c77314618,"Gregory Figueroa",Asia,"Kyrgyz Republic"
7e824884-d264-4de8-ab3c-bfd2031b6ee0,"Lisa Fuentes",Europe,Tuvalu
fca88452-ce70-4d04-9b4b-2bd6ad05fc20,"Andrea Graves","South America",France
e22fd627-3e82-485d-ac46-074d9521eb88,"Amanda Roberts","South America",Egypt
5f79e83a-cf5b-4a34-9621-1b8b8f9496bc,"Scott Smith","South America",Eritrea
aecfe737-37a3-4f98-929d-9355d7fda43b,"Cathy Cunningham","North America",Congo
